frequency,raw
20.00,5.56
20.20,5.65
20.40,5.69
20.61,5.74
20.81,5.78
21.02,5.83
21.23,5.89
21.44,5.95
21.66,6.01
21.87,6.08
22.09,6.10
22.31,6.10
22.54,6.10
22.76,6.15
22.99,6.23
23.22,6.32
23.45,6.40
23.69,6.48
23.92,6.54
24.16,6.60
24.40,6.67
24.65,6.74
24.89,6.82
25.14,6.90
25.39,6.97
25.65,7.04
25.91,7.09
26.16,7.15
26.43,7.20
26.69,7.26
26.96,7.29
27.23,7.32
27.50,7.34
27.77,7.37
28.05,7.40
28.33,7.43
28.62,7.46
28.90,7.49
29.19,7.57
29.48,7.66
29.78,7.75
30.08,7.80
30.38,7.83
30.68,7.85
30.99,7.90
31.30,7.96
31.61,8.02
31.93,8.08
32.24,8.13
32.57,8.16
32.89,8.18
33.22,8.21
33.55,8.24
33.89,8.28
34.23,8.31
34.57,8.35
34.92,8.37
35.27,8.40
35.62,8.43
35.97,8.46
36.33,8.48
36.70,8.50
37.06,8.53
37.43,8.55
37.81,8.58
38.19,8.60
38.57,8.62
38.95,8.63
39.34,8.64
39.74,8.65
40.14,8.65
40.54,8.65
40.94,8.66
41.35,8.66
41.76,8.66
42.18,8.67
42.60,8.67
43.03,8.68
43.46,8.70
43.90,8.74
44.33,8.78
44.78,8.82
45.23,8.86
45.68,8.90
46.13,8.94
46.60,8.99
47.06,9.03
47.53,9.04
48.01,9.04
48.49,9.04
48.97,9.04
49.46,9.06
49.96,9.08
50.46,9.11
50.96,9.10
51.47,9.08
51.99,9.07
52.51,9.03
53.03,8.99
53.56,8.95
54.10,8.95
54.64,8.96
55.18,8.98
55.74,8.97
56.29,8.96
56.86,8.95
57.42,8.96
58.00,8.99
58.58,9.01
59.16,9.01
59.76,8.97
60.35,8.94
60.96,8.93
61.57,8.93
62.18,8.92
62.80,8.91
63.43,8.92
64.07,8.94
64.71,8.97
65.35,9.00
66.01,9.02
66.67,9.04
67.33,9.04
68.01,9.04
68.69,9.04
69.37,9.03
70.07,9.00
70.77,8.97
71.48,8.94
72.19,8.96
72.91,8.98
73.64,9.00
74.38,9.02
75.12,9.04
75.87,9.01
76.63,8.98
77.40,8.95
78.17,8.94
78.95,8.94
79.74,8.94
80.54,8.94
81.35,8.94
82.16,8.94
82.98,8.93
83.81,8.92
84.65,8.90
85.50,8.88
86.35,8.86
87.22,8.84
88.09,8.81
88.97,8.78
89.86,8.75
90.76,8.71
91.66,8.68
